-0.01202047,18.75,-25,24.89998,-27.00005,-20.4,30.00002,-17.45998,35.00004
-0.2272734,5.75,-25,10.85996,-27,-4.799994,30,0.7400184,35
-0.3045171,-7.25,-25,-3.180035,-27,10.80001,30.00002,18.94002,35.00004
-0.2781703,-19.75,-25,-16.68003,-27.00005,25.80001,30.00002,36.44004,35.00004
-0.3444158,-32.25,-25,-30.18006,-27.00005,40.8,29.99992,53.94006,35.00004
-0.3497522,-45.25,-25,-44.22008,-27.00005,56.39996,29.99992,72.14003,34.99985
-0.2729109,-57.75,-25,-57.7201,-27.00005,71.39992,29.99992,-81.23999,34.99985
-0.2951337,-70.25,-25,-71.22012,-27.00005,-82.79989,29.99992,-63.74006,35.00004
-0.278441,-83.25,-25,-85.26015,-27.00005,-67.19993,29.99992,-45.54004,35.00004
-0.2924103,84.75,-25,81.48014,-27.00005,-52.19997,29.99992,-28.04002,35.00004
-0.2850478,71.75,-25,67.44012,-27.00005,-36.60001,29.99992,-9.840013,34.99999
-0.5455363,59.25,-25,53.94009,-27.00005,-21.60001,30.00002,7.659985,34.99999
-0.4319615,46.25,-25,39.90007,-27.00005,-6.000002,30,25.85999,35.00004
0.3295451,33.75,-25,26.40005,-27.00005,8.999997,30.00002,43.36001,35.00004
0.2099831,21.25,-25,12.90003,-27,24.00001,30.00002,60.86003,35.00004
-0.5151688,8.25,-25,-1.139969,-27,39.59999,29.99992,79.05997,34.99985
-0.5218492,-4.25,-25,-14.63997,-27,54.59995,29.99992,-74.15999,34.99985
-2.316088,-16.75,-25,-28.13999,-27.00005,69.59991,29.99992,-56.66002,35.00004
-2.36017,-29.75,-25,-42.18001,-27.00005,-83.99988,29.99992,-38.46,35.00004
-2.2878,-42.25,-25,-55.68003,-27.00005,-68.99992,29.99992,-20.95998,35.00004
-2.287174,-55.25,-25,-69.72005,-27.00005,-53.39996,29.99992,-2.759982,35
-2.350984,-67.75,-25,-83.22008,-27.00005,-38.39999,29.99992,14.74002,34.99999
-2.350753,-80.75,-25,83.22008,-27.00005,-22.8,30.00002,32.94003,35.00004
-2.274339,86.75,-25,69.18005,-27.00005,-7.199994,30,51.14005,35.00004
-2.156135,74.25,-25,55.68003,-27.00005,7.800004,30,68.64005,34.99985
-2.170193,61.75,-25,42.18001,-27.00005,22.80001,30.00002,-84.73997,34.99985
